reg_page,reg_addr,default_value
#number in hex
0,01,00
0,03,28
0,11,02
0,1f,00
0,20,00
0,25,20
0,26,00
0,27,00
0,28,20
0,29,20
0,2a,ff
0,2b,00
0,2c,00
0,2d,00
0,18,00
0,19,00
0,1a,00
0,1b,00
0,21,00
0,22,00
0,23,00
5,40,03
5,41,20
5,42,02
5,43,02
5,44,00
5,45,00
5,46,01
5,47,00
5,48,03
5,49,07
5,4a,00
5,4b,02
5,4c,00
5,4d,00
5,4e,01
5,4f,00
5,50,00
5,51,0f
5,52,00
5,53,01
5,54,01
1,06,00
1,07,00
1,08,00
1,09,00
1,0b,00
1,80,00
1,81,00
1,82,00
1,83,00
1,84,00
1,85,00
1,86,00
1,87,00
1,88,00
1,89,00
1,8a,00
1,8b,00
1,8c,00
1,8d,00
1,8e,00
1,8f,00
1,90,00
1,91,00
